gene	Z_rank
DYNC1H1	1
PRPF8	2
HUWE1	3
TRRAP	4
LRP1	5
HERC2	6
SMARCA4	7
POLR2A	8
C12orf51	9
RYR2	10
SCN8A	11
MED12	12
ACACA	13
KIAA1109	14
SNRNP200	15
CHD4	16
CACNA1C	17
MTOR	18
GRIN1	19
SLC8A2	20
ABCA2	21
PPFIA3	22
MLL	23
UBR5	24
ATP1A3	25
ITPR1	26
EIF2C2	27
CLTC	28
FLNA	29
UPF1	30
PCDH17	31
MLL2	32
SYNGAP1	33
HCFC1	34
DHX30	35
SPTBN1	36
SF3B1	37
SOGA3	38
SMG1	39
BCL11B	40
SMARCA2	41
CACNA1I	42
MYH7	43
SMC1A	44
USP9X	45
GRIN2B	46
SCN2A	47
CHD5	48
PCSK5	49
LRRC4B	50
GRIN2D	51
TAF1	52
RSPH10B	53
RSPH10B2	54
VCP	55
CNOT1	56
TRIO	57
CYFIP2	58
NBEA	59
SUPT5H	60
ZBTB7A	61
FZD8	62
WDFY3	63
TNPO2	64
DSCAM	65
GTF2I	66
ATP1A1	67
UBR4	68
MYCBP2	69
NALCN	70
NF1	71
CHD3	72
DNMT1	73
EHMT2	74
USP7	75
GABBR1	76
KDM2A	77
PRPF6	78
SPTBN4	79
GNAS	80
MLL4	81
THOC2	82
FRY	83
CACNA1G	84
HEATR7A	85
ATP2B2	86
OGT	87
DIP2C	88
POLR2B	89
IRF2BP1	90
SHANK3	91
CACNA1E	92
CNNM2	93
ANKRD17	94
KCNMA1	95
TAOK1	96
BRWD3	97
SPTAN1	98
TUBB2A	99
PHIP	100
DDB1	101
DAGLA	102
HSPA2	103
SPEG	104
KCNA3	105
BCL11A	106
SMC3	107
MYH10	108
XPO1	109
UNC13A	110
LRFN1	111
CUL3	112
EIF2C1	113
KIAA0913	114
IRS2	115
ADCY1	116
HCN2	117
APC2	118
PCDH10	119
MYT1L	120
ZBTB17	121
KDM5C	122
ATP1A2	123
CACNA1B	124
TLN1	125
KCNC1	126
NCOR1	127
UHRF1	128
MYH9	129
ZBTB20	130
ATP9A	131
EEF2	132
PDS5A	133
PRKD2	134
BRD4	135
MAPK8IP3	136
BAI1	137
DDX3X	138
CHD2	139
KCNG1	140
GTF3C1	141
CHERP	142
BRSK1	143
TRIP12	144
HSPA8	145
KDM1A	146
SCN3A	147
SLC32A1	148
KDM3B	149
VPRBP	150
TUBB4B	151
CYFIP1	152
PRKCE	153
TUBB4A	154
XPO7	155
KCNA6	156
KCND3	157
PLXNC1	158
TBC1D9	159
ACTA1	160
CREBBP	161
FAM115A	162
DROSHA	163
RYR1	164
IQSEC2	165
DHX9	166
OGDH	167
DHX16	168
KIAA1161	169
DOCK3	170
ITPRIPL2	171
KCNQ2	172
CHD8	173
GRIN2A	174
ZMIZ1	175
TCHH	176
CUL1	177
HECTD1	178
ZEB2	179
PRR12	180
PABPC1	181
NOVA2	182
DSCAML1	183
NOTCH1	184
TUBB	185
MAST3	186
CEP170	187
GCN1L1	188
LPHN1	189
DNM1	190
PHF8	191
CTNNB1	192
FZD7	193
CENPB	194
RASGRF1	195
NFIX	196
PATZ1	197
ATP2B1	198
ANO8	199
PLXNA1	200
TMEM63B	201
PI4KA	202
RBM10	203
SUPT16H	204
CELSR3	205
EVI5L	206
DCLK1	207
RPS6KA4	208
CSTF3	209
KLHL11	210
CCDC144A	211
CNTNAP3	212
SYMPK	213
AHDC1	214
DDX23	215
PIK3CA	216
ZNF668	217
ITPR2	218
STAT3	219
PCDH19	220
